"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
261 1975 8593 2011-05-02 143628 159539.01 c(143628, 159539.01)
262 1991 8594 2011-05-02 144206 156992.01 c(144206, 156992.01)
263 1329 8601 2011-05-03 164178 180046.01 c(164178, 180046.01)
264 1984 8602 2011-03-07 172591 173419.01 c(172591, 173419.01)
265 1983 8603 2011-03-07 171098 172439.01 c(171098, 172439.01)
266 1982 8604 2011-03-07 165798 171154.01 c(165798, 171154.01)
267 1980 8605 2011-03-07 163319 169199.01 c(163319, 169199.01)
268 575 8610 2011-03-29 115233 204475.01 c(115233, 204475.01)
269 831 8614 2011-03-30 125816 210941.01 c(125816, 210941.01)
270 187 8616 2011-03-30 126839 208994.01 c(126839, 208994.01)
271 829 8617 2011-03-28 104513 217770.01 c(104513, 217770.01)
272 188 8618 2011-04-05 128922 207883.01 c(128922, 207883.01)
273 65 8619 2011-04-05 128922 204744.01 c(128922, 204744.01)
274 1588 8620 2011-05-03 165130 179465.01 c(165130, 179465.01)
275 1421 8621 2011-06-27 114132 160630.01 c(114132, 160630.01)
276 1656 8623 2011-05-03 170999 185097.01 c(170999, 185097.01)
277 1655 8624 2011-05-04 165693 187040.01 c(165693, 187040.01)
278 1410 8625 2011-06-27 119036 165533.01 c(119036, 165533.01)
279 1332 8626 2011-05-04 164123 186262.01 c(164123, 186262.01)
280 1423 8627 2011-06-27 124825 168876.01 c(124825, 168876.01)
281 1335 8628 2011-05-04 161030 188356.01 c(161030, 188356.01)
282 1435 8635 2011-06-27 129595 187988.01 c(129595, 187988.01)
283 1433 8639 2011-06-27 127068 183710.01 c(127068, 183710.01)
284 911 8641 2011-06-08 161688 221219.01 c(161688, 221219.01)
285 1023 8642 2011-06-08 165023 216895.01 c(165023, 216895.01)
286 1427 8643 2011-06-27 128289 178929.01 c(128289, 178929.01)
287 850 8644 2011-06-08 159926 214105.01 c(159926, 214105.01)
288 1423 8645 2011-06-30 124825 168876.01 c(124825, 168876.01)
289 1410 8646 2011-06-28 119036 165533.01 c(119036, 165533.01)
290 1421 8647 2011-06-28 114132 160630.01 c(114132, 160630.01)
291 1414 8648 2011-06-30 123634 167629.01 c(123634, 167629.01)
292 1427 8649 2011-06-30 128289 178929.01 c(128289, 178929.01)
293 1433 8650 2011-06-28 127068 183710.01 c(127068, 183710.01)
294 1435 8651 2011-06-28 129595 187988.01 c(129595, 187988.01)
295 1145 8653 2011-05-19 59990 183372.01 c(59990, 183372.01)
296 1161 8655 2011-05-16 57344 175936.01 c(57344, 175936.01)
297 1150 8656 2011-05-16 56196 173803.01 c(56196, 173803.01)
298 1154 8657 2011-05-19 72609 186854.01 c(72609, 186854.01)
299 1152 8658 2011-05-19 67763 183681.01 c(67763, 183681.01)
300 1350 8660 2011-05-16 60803 172414.01 c(60803, 172414.01)
301 935 8661 2011-05-16 63146 172241.01 c(63146, 172241.01)
302 1148 8662 2011-05-16 67070 171013.01 c(67070, 171013.01)
303 1151 8663 2011-05-17 72766 171292.01 c(72766, 171292.01)
304 1153 8665 2011-05-17 74340 179532.01 c(74340, 179532.01)
305 1143 8666 2011-05-17 82850 179425.01 c(82850, 179425.01)
306 1824 8667 2011-03-25 215633 183291.01 c(215633, 183291.01)
307 888 8668 2011-06-06 117648 198314.01 c(117648, 198314.01)
308 887 8669 2011-06-06 124736 198556.01 c(124736, 198556.01)
309 1234 8674 2011-07-04 139831 155704.01 c(139831, 155704.01)
310 1240 8684 2011-07-04 153632 178620.01 c(153632, 178620.01)
311 1237 8685 2011-07-04 158246 185308.01 c(158246, 185308.01)
312 605 8687 2011-05-24 44224 177100.01 c(44224, 177100.01)
313 672 8688 2011-05-24 43708 191554.01 c(43708, 191554.01)
314 1346 8707 2011-05-17 86404 184536.01 c(86404, 184536.01)
315 1382 8713 2011-04-18 99525 178777.01 c(99525, 178777.01)
316 1168 8714 2011-04-18 85887 161841.01 c(85887, 161841.01)
317 2363 8715 2011-03-21 183995 177621.01 c(183995, 177621.01)
318 2504 8717 2011-04-14 178326 209664.01 c(178326, 209664.01)
319 2503 8718 2011-04-14 186461 217831.01 c(186461, 217831.01)
320 200 8719 2011-09-05 34791 201410.01 c(34791, 201410.01)
321 198 8720 2011-09-05 31521 199482.01 c(31521, 199482.01)
322 204 8722 2011-09-05 27015 197023.01 c(27015, 197023.01)
323 5 8724 2011-09-20 173764 175990.01 c(173764, 175990.01)
324 5 8725 2011-09-19 173764 175990.01 c(173764, 175990.01)
325 23 8726 2011-09-20 171186 180746.01 c(171186, 180746.01)
326 23 8727 2011-09-19 171186 180746.01 c(171186, 180746.01)
327 8 8736 2011-09-19 156438 190958.01 c(156438, 190958.01)
328 8 8737 2011-09-22 156438 190958.01 c(156438, 190958.01)
329 481 8763 2011-10-17 93949 196299.01 c(93949, 196299.01)
330 479 8764 2011-10-18 94182 200467.01 c(94182, 200467.01)
331 476 8765 2011-10-18 92702 205281.01 c(92702, 205281.01)
332 473 8770 2011-10-21 72711 221253.01 c(72711, 221253.01)
333 475 8771 2011-10-21 71095 223667.01 c(71095, 223667.01)
334 481 8774 2011-10-17 93949 196299.01 c(93949, 196299.01)
335 479 8775 2011-10-17 94182 200467.01 c(94182, 200467.01)
336 476 8778 2011-10-17 92702 205281.01 c(92702, 205281.01)
337 473 8783 2011-10-18 72711 221253.01 c(72711, 221253.01)
338 475 8784 2011-10-18 71095 223667.01 c(71095, 223667.01)
339 169 8785 2011-10-25 211754 202400.01 c(211754, 202400.01)
340 161 8786 2011-10-25 211787 205281.01 c(211787, 205281.01)
341 163 8787 2011-10-25 212875 208163.01 c(212875, 208163.01)
342 169 8789 2011-10-25 211754 202400.01 c(211754, 202400.01)
343 163 8790 2011-10-25 212875 208163.01 c(212875, 208163.01)
344 161 8791 2011-10-25 211787 205281.01 c(211787, 205281.01)
345 2353 9048 2012-03-05 228459 219637.01 c(228459, 219637.01)
346 2705 9049 2012-03-05 228823 218691.01 c(228823, 218691.01)
347 2696 9051 2012-03-06 228487 213683.01 c(228487, 213683.01)
348 1887 9054 2012-03-29 207170 185594.01 c(207170, 185594.01)
349 1814 9055 2012-03-29 207770 191310.01 c(207770, 191310.01)
350 2375 9057 2012-03-12 212055 179002.01 c(212055, 179002.01)
351 1746 9058 2012-03-13 203870 179297.01 c(203870, 179297.01)
352 1785 9059 2012-03-29 214329 197596.01 c(214329, 197596.01)
353 1792 9061 2012-03-29 216557 198340.01 c(216557, 198340.01)
354 49 9062 2012-03-26 93398 203787.01 c(93398, 203787.01)
355 177 9065 2012-03-27 102114 206727.01 c(102114, 206727.01)
356 178 9066 2012-03-27 102749 206628.01 c(102749, 206628.01)
357 179 9067 2012-03-27 103824 205836.01 c(103824, 205836.01)
358 180 9069 2012-03-28 104567 205497.01 c(104567, 205497.01)
359 182 9070 2012-03-28 105786 205878.01 c(105786, 205878.01)
360 1756 9071 2012-03-13 206329 171088.01 c(206329, 171088.01)
361 1906 9072 2012-03-13 208477 168999.01 c(208477, 168999.01)
362 751 9078 2012-04-16 47521 210220.01 c(47521, 210220.01)
363 732 9079 2012-04-16 51544 207645.01 c(51544, 207645.01)
364 731 9081 2012-04-17 53590 203881.01 c(53590, 203881.01)
365 836 9083 2012-03-19 74779 219799.01 c(74779, 219799.01)
366 818 9085 2012-03-20 76329 225096.01 c(76329, 225096.01)
367 816 9086 2012-03-20 72885 224884.01 c(72885, 224884.01)
368 1721 9088 2012-03-14 216063 167214.01 c(216063, 167214.01)
369 2059 9089 2012-03-14 215902 166570.01 c(215902, 166570.01)
370 3099 9090 2012-04-02 249910 197813.01 c(249910, 197813.01)
371 1838 9098 2012-03-15 201260 168543.01 c(201260, 168543.01)
372 1846 9100 2012-03-15 194707 162910.01 c(194707, 162910.01)
373 742 9106 2012-04-19 39798 205516.01 c(39798, 205516.01)
374 740 9107 2012-04-19 40326 207477.01 c(40326, 207477.01)
375 2558 9109 2012-04-24 176099 215473.01 c(176099, 215473.01)
376 2517 9110 2012-04-24 176472 214798.01 c(176472, 214798.01)
377 2903 9111 2012-04-24 179437 214114.01 c(179437, 214114.01)
378 2513 9114 2012-04-24 169080 207936.01 c(169080, 207936.01)
379 2241 9117 2012-04-25 171603 210439.01 c(171603, 210439.01)
380 812 9121 2012-04-10 62797 220994.01 c(62797, 220994.01)
